session,num_readings,windows,max_error,mean_error,score,risk,coolant_max,rpm_max
5,362,63,0.03287740796804428,0.025221241105880057,1.0,HIGH,104.89,3983.47
8,1341,259,0.035951465368270874,0.025994759980718603,1.0,HIGH,104.99,3999.32
9,1145,220,0.036019496619701385,0.026556973735039884,1.0,HIGH,104.98,3997.49
12,3555,702,0.04014900326728821,0.026276397165919303,1.0,HIGH,105.0,3999.47
13,657,122,0.03550029918551445,0.02677314652160543,1.0,HIGH,104.98,3994.57
14,8043,1599,0.042399242520332336,0.025964317019746927,1.0,HIGH,104.99,3999.24
15,288,48,0.030289050191640854,0.026762296445667744,1.0,HIGH,104.7,3994.02
