session,windows,max_error,mean_error,score,risk
5,63,0.03283051773905754,0.025259433343770014,0.03681599122071618,LOW
8,259,0.03606775403022766,0.02600138560368978,0.09815263684071816,LOW
9,220,0.03639839589595795,0.026549382346936247,0.1044173827910684,LOW
12,702,0.04021056741476059,0.026281986183929986,0.17664745574843801,LOW
13,122,0.03528497740626335,0.02677568483364875,0.08332119172357293,LOW
14,1599,0.04279780760407448,0.02594973993434654,0.22566847872986898,LOW
15,48,0.02999626100063324,0.02668831346090883,0.0,LOW
